folio,element_desc,object_type,visual_feature2,label_token,label_locus,annotation_confidence,semantic_guardrail
f88r,top-left ornate green/red goblet jar (lid label),container,gilt_banded,otorchety,f88r.1,high,rota64_cross_modal_not_decipherment
f88r,mid-left ornate red/gilt apothecary jar (label),container,red_pigment,otaldy,f88r.12,high,rota64_cross_modal_not_decipherment
f88r,lower-left tall red/gilt tiered jar (label),container,red_pigment,ofyskydal,f88r.23,high,rota64_cross_modal_not_decipherment
f88r,top band: pale curled root with downward tendrils,root,tailed,osal,f88r.2,medium,rota64_cross_modal_not_decipherment
f88r,top band: dark reddish-brown carrot/tuber root,root,single,orald,f88r.3,medium,rota64_cross_modal_not_decipherment
f88r,top band: pale forked root with fine rootlets,root,multiple,oldar,f88r.4,medium,rota64_cross_modal_not_decipherment
f88r,top band: large brown stippled spindle/seedpod root,root,single,otoky,f88r.5,medium,rota64_cross_modal_not_decipherment
f88r,top band: pale octopus root with many curling tendrils,root,multiple,otaly,f88r.6,medium,rota64_cross_modal_not_decipherment
f88r,mid band: orange octopus root with many tendrils,root,multiple,oram,f88r.13,medium,rota64_cross_modal_not_decipherment
f88r,mid band: green leaf sprig beside small orange root,leaf,single,dary,f88r.14,uncertain,rota64_cross_modal_not_decipherment
f88r,mid band: dark green spiky leaf-blade on stem,leaf,single,okol,f88r.15,medium,rota64_cross_modal_not_decipherment
f88r,mid band: pale bulb root with fine tendrils,root,tailed,sorory,f88r.16,uncertain,rota64_cross_modal_not_decipherment
f88r,mid band: green leaves with stippled dotted fan structure,other,multiple,otyda,f88r.17,uncertain,rota64_cross_modal_not_decipherment
f88r,lower band: large central root mass with orange hairy roots and green serrated leaves,whole_plant,multiple,otor.am,f88r.24,medium,rota64_cross_modal_not_decipherment
f88r,lower band: green kidney-shaped leaves on stems,leaf,multiple,ofaldo,f88r.25,uncertain,rota64_cross_modal_not_decipherment
f89v1,upper ornate green lidded goblet jar (label),container,gilt_banded,okoraldy,f89v1.1,high,rota64_cross_modal_not_decipherment
f89v1,top band: brown octopus root with curling tendrils,root,multiple,oto{ikh}y,f89v1.2,uncertain,rota64_cross_modal_not_decipherment
f89v1,top band: green lobed leaf sprig,leaf,single,otchar,f89v1.3,uncertain,rota64_cross_modal_not_decipherment
